Pacote,Concrete Type,Call Method Name,Field Name,Metodo,Line Code,Class,Ocorrencias,Into Loop,Loops Info,Inside Recursive Method
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,87,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,88,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,89,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,90,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,91,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,92,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,93,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,94,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/HashMap,<init>,wrapperMap,iterator,95,Lcom/thoughtworks/xstream/mapper/MapperWrapper>,64,false,,false
java/util/Map,Ljava/util/Map,getMapper,classNameToMapper,iterator,41,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper>,1,true,1) 1;ON;null; ,false
java/util/Map,Ljava/util/Map,getOrCreateMapper,classNameToMapper,iterator,54,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper>,13,false,,false
java/util/Map,Ljava/util/Map,getOrCreateMapper,classNameToMapper,put(key;value),57,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper>,13,false,,false
java/util/Map,Ljava/util/Map,getMapper,classNameToMapper,iterator,41,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper>,4,true,1) 2;ON;null; ,false
java/util/Map,Ljava/util/Map,getFieldNameForItemTypeAndName,namedItemTypeToDef,keySet,165,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,2,false,,true
java/util/Set,Ljava/util/Set,getFieldNameForItemTypeAndName,,iterator,165,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,2,false,,true
java/util/Map,Ljava/util/Map,getFieldNameForItemTypeAndName,namedItemTypeToDef,iterator,166,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,1,true,1) 2;O1;0; ,true
java/util/Map,Ljava/util/Map,getImplicitCollectionDefByItemFieldName,itemFieldNameToDef,iterator,206,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,3,false,,true
java/util/Map,Ljava/util/Map,getImplicitCollectionDefForFieldName,fieldNameToDef,iterator,217,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,2,false,,true
java/util/Map,Ljava/util/Map,box,BOX,iterator,54,Lcom/thoughtworks/xstream/core/util/Primitives>,13,false,,false
java/util/Map,Ljava/util/Map,add,fieldNameToDef,put(key;value),227,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,13,false,,false
java/util/Map,Ljava/util/Map,add,namedItemTypeToDef,put(key;value),228,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,13,false,,false
java/util/Map,Ljava/util/Map,add,itemFieldNameToDef,put(key;value),230,Lcom/thoughtworks/xstream/mapper/ImplicitCollectionMapper$ImplicitCollectionMapperForClass>,13,false,,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,72,true,1) 5;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,72,true,1) 5;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,put(key;value),97,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,435,false,,false
java/util/List,Ljava/util/ArrayList,unmarshalIndividualByteElements,bytes,add(value),84,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,1,true,1) 2;O1;0; ,false
java/util/List,Ljava/util/ArrayList,unmarshalIndividualByteElements,bytes,size,89,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,2,false,,false
java/util/List,Ljava/util/ArrayList,unmarshalIndividualByteElements,bytes,sequentialGet,91,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,1,true,1) 2;ON;null; ,false
java/util/List,Ljava/util/ArrayList,unmarshalIndividualByteElements,bytes,add(value),84,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,1,true,1) 1;O1;0; ,false
java/util/List,Ljava/util/ArrayList,unmarshalIndividualByteElements,bytes,sequentialGet,91,Lcom/thoughtworks/xstream/converters/extended/EncodedByteArrayConverter>,1,true,1) 1;ON;null; ,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,41,true,1) 12;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,41,true,1) 12;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,16,true,1) 13;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,16,true,1) 13;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,5,true,1) 14;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,5,true,1) 14;ON;0; ,false
java/util/Map,Ljava/util/Map,readResolve,instanceMaps,iterator,115,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,18,true,1) 8;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,18,true,1) 8;ON;0; ,false
java/util/Set,Ljava/util/Set,readResolve,,iterator,126,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,putAll,130,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,isEmpty,136,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,put(key;value),143,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,1,true,1) 2;ON;null; ,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,clear,147,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,clear,149,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,clear,151,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,readResolve,instanceMaps,put(key;value),154,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,32,false,,false
java/util/Map,Ljava/util/Map,canConvert,attributeMap,isEmpty,71,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,1,false,,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,48,true,1) 6;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,48,true,1) 6;ON;0; ,false
java/util/Map,Ljava/util/Map,fromString,attributeMap,containsKey,104,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,1,false,,false
java/util/Map,Ljava/util/Map,fromString,attributeMap,iterator,105,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,1,false,,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,38,true,1) 7;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,38,true,1) 7;ON;0; ,false
java/util/Map,Ljava/util/Map,readResolve,attributeMap,put(key;value),143,Lcom/thoughtworks/xstream/converters/reflection/AbstractAttributedCharacterIteratorAttributeConverter>,1,true,1) 1;ON;null; ,false
java/util/Map,Ljava/util/Map,add,stuff,containsKey,90,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,103,true,1) 11;ON;0; ,false
java/util/Map,Ljava/util/Map,add,stuff,iterator,91,Lcom/thoughtworks/xstream/converters/ErrorWritingException>,103,true,1) 11;ON;0; ,false
java/util/List,Ljava/util/List,<init>,val$fields,iterator,148,Lcom/thoughtworks/xstream/converters/reflection/AbstractReflectionConverter$2>,4,false,,false
