Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
fieldToAliasMap,false,38,com.thoughtworks.xstream.mapper.FieldAliasingMapper,addFieldAlias,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
aliasToFieldMap,false,39,com.thoughtworks.xstream.mapper.FieldAliasingMapper,addFieldAlias,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
unreferenceableTypes,false,56,com.thoughtworks.xstream.mapper.ImmutableTypesMapper,addImmutableType,Changes the type from java.util.Set to treeSet<linkedHashSet<unifiedSet(Eclipse Collections)<hashSet<treeSortedSet(Eclipse Collections)<setFromConcurrentHashMap<synchronizedHashSet<synchronizedLinkedHashSet<concurrentSkipListSet<synchronizedTreeSet<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
immutableTypes,false,54,com.thoughtworks.xstream.mapper.ImmutableTypesMapper,addImmutableType,Changes the type from java.util.Set to treeSet<linkedHashSet<hashSet<unifiedSet(Eclipse Collections)<treeSortedSet(Eclipse Collections)<synchronizedHashSet<synchronizedLinkedHashSet<setFromConcurrentHashMap<concurrentSkipListSet<synchronizedTreeSet<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
classNameToMapper,false,41,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper,getMapper,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<synchronizedLinkedHashMap<concurrentHashMap(EclipseCollections)<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
itemFieldNameToDef,false,206,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass,getImplicitCollectionDefByItemFieldName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
namedItemTypeToDef,false,166,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass,getFieldNameForItemTypeAndName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
fieldNameToDef,false,217,com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMapperForClass,getImplicitCollectionDefForFieldName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
localConverters,false,44,com.thoughtworks.xstream.mapper.LocalConversionMapper,registerLocalConverter,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedHashMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
wrapperMap,true,49,com.thoughtworks.xstream.mapper.MapperWrapper,<init>,Changes the type from java.util.HashMap to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)
nameToPackage,false,53,com.thoughtworks.xstream.mapper.PackageAliasingMapper,addPackageAlias,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<hashedMap(ApacheCommonsCollections)<hashMap<treeMap<concurrentHashMap<hashtable<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedHashMap<concurrentSkipListMap<synchronizedTreeMap
