Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
typeToConverterMap,false,57,com.thoughtworks.xstream.core.DefaultConverterLookup,lookupConverterForType,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
map,false,35,com.thoughtworks.xstream.core.MapBackedDataHolder,get,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
classLoaders,false,87,com.thoughtworks.xstream.core.util.CompositeClassLoader,addInternal,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<fastList(EclipseCollections)<synchronizedArrayList<synchronizedFastList(EclipseCollections)<copyOnWriteArrayList<synchronizedLinkedList<vector
map,false,103,com.thoughtworks.xstream.core.util.ObjectIdDictionary,associateId,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<hashMap<linkedHashMap<concurrentHashMap(EclipseCollections)<treeMap<staticBucketMap(ApacheCommonsCollections)<concurrentHashMap<hashtable<synchronizedUnifiedMap(EclipseCollections)<synchronizedHashMap<synchronizedLinkedHashMap<synchronizedTreeMap<concurrentSkipListMap
valueOrder,false,54,com.thoughtworks.xstream.core.util.OrderRetainingMap,put,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<synchronizedLinkedList<copyOnWriteArrayList
UNBOX,false,64,com.thoughtworks.xstream.core.util.Primitives,unbox,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<synchronizedLinkedHashMap<concurrentSkipListMap<concurrentHashMap(EclipseCollections)<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
NAMED_PRIMITIVE,false,86,com.thoughtworks.xstream.core.util.Primitives,primitiveType,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<synchronizedLinkedHashMap<concurrentSkipListMap<concurrentHashMap(EclipseCollections)<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
BOX,false,54,com.thoughtworks.xstream.core.util.Primitives,box,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<hashMap<hashedMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
REPRESENTING_CHAR,false,97,com.thoughtworks.xstream.core.util.Primitives,representingChar,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<hashedMap(ApacheCommonsCollections)<hashMap<treeMap<concurrentHashMap<synchronizedUnifiedMap(EclipseCollections)<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<concurrentSkipListMap<synchronizedTreeMap
set,false,43,com.thoughtworks.xstream.core.util.PrioritizedList,iterator,Changes the type from java.util.Set to linkedHashSet<treeSet<treeSortedSet(Eclipse Collections)<hashSet<unifiedSet(Eclipse Collections)<synchronizedLinkedHashSet<concurrentSkipListSet<synchronizedHashSet<synchronizedTreeSet<setFromConcurrentHashMap<synchronizedUnifiedSet(Eclipse Collections)<synchronizedTreeSortedSet(Eclipse Collections)
